Minimum Temperature,Maximum Temperature,Humidity,Precipitation
10.7,23.1,79,6.3
12.5,42.8,49,6.6
9.4,36.5,76,3.0
17.9,41.7,49,9.5
7.1,29.9,69,2.2
9.4,38.7,39,11.7
16.4,36.8,66,2.4
7.5,19.8,78,9.1
-2.8,33.4,73,1.3
-2.3,26.1,53,5.3
11.9,19.0,40,14.6
-3.0,29.8,63,7.4
14.7,32.5,81,15.0
1.8,33.2,83,3.3
11.9,42.5,56,14.3
6.5,32.3,60,14.4
10.6,33.4,76,0.6
0.5,34.5,68,0.3
6.0,45.4,88,5.7
-2.5,46.5,43,9.9
12.9,44.3,66,3.3
14.6,28.4,88,1.8
1.8,21.2,47,4.5
5.8,35.1,41,13.1
9.1,33.0,61,5.8
8.8,34.1,79,0.5
10.2,27.8,70,9.5
17.5,37.1,66,3.4
16.5,34.2,82,14.0
8.2,40.3,63,15.5
7.1,28.3,42,2.2
1.5,25.1,56,7.6
2.4,23.5,76,7.0
-0.2,25.1,55,12.3
9.6,47.6,88,9.8
4.7,24.0,47,11.5
5.2,21.7,88,11.4
14.1,22.3,71,9.8
10.9,22.8,84,15.5
-1.4,27.2,89,2.6
8.3,45.2,53,6.9
-0.1,28.3,87,7.5
3.0,44.1,84,12.5
7.6,37.1,44,14.7
9.2,45.6,51,10.6
-1.6,32.5,67,10.6
9.8,22.9,52,15.6
16.6,38.5,63,15.5
8.9,48.6,82,13.7
16.2,31.9,77,14.9
13.7,42.1,83,15.3
7.1,29.0,42,14.1
6.7,40.8,72,9.0
4.3,41.8,57,3.3
0.9,24.0,50,8.2
12.0,28.5,77,14.9
0.6,44.2,54,6.1
14.4,31.6,77,12.0
15.1,39.4,52,8.3
-1.0,30.9,53,5.7
16.0,42.4,61,1.9
9.2,27.4,47,0.1
5.0,27.9,44,2.3
8.3,46.9,48,4.8
1.7,47.4,47,8.2
17.7,45.2,70,11.4
10.3,18.7,66,0.0
3.1,23.4,46,4.0
3.4,32.4,45,9.9
2.1,26.3,60,6.9
14.7,40.4,76,4.3
-1.0,31.5,66,1.5
4.8,30.7,64,14.7
15.8,28.0,45,4.9
-2.2,36.0,59,6.7
6.6,41.3,56,7.5
18.0,36.2,59,10.3
5.1,40.3,56,2.9
11.4,45.1,73,2.8
15.2,20.2,68,0.5
9.4,29.1,39,8.6
10.1,31.6,48,5.7
10.0,20.2,53,8.2
-2.0,33.9,61,7.3
2.8,37.3,73,13.7
9.0,27.9,39,5.7
8.4,21.0,84,4.1
1.2,38.0,74,8.8
8.1,37.9,61,1.8
6.8,21.4,70,10.8
11.6,20.6,88,6.5
7.7,43.6,64,6.3
-0.1,46.3,39,4.6
-1.1,25.6,76,5.3
3.5,34.8,50,5.4
2.3,27.8,49,12.0
1.8,46.5,84,10.3
9.2,29.1,84,10.3
-1.9,43.2,47,1.4
14.8,37.7,41,5.4
0.3,43.9,64,10.3
10.0,48.3,65,14.5
5.8,22.6,69,7.1
5.9,39.9,56,4.2
6.7,42.4,75,5.1
-2.0,45.7,79,7.7
12.5,42.3,63,7.9
7.4,47.7,74,14.1
10.1,26.2,53,1.4
17.2,39.4,80,1.4
0.4,43.1,77,10.2
6.7,25.8,80,8.4
6.9,37.0,70,14.2
-1.9,32.0,43,15.6
13.2,39.4,44,12.7
15.8,29.0,68,3.1
11.9,31.7,48,10.5
13.7,22.6,53,13.0
13.8,20.4,63,10.2
6.1,25.6,77,13.5
0.0,25.7,47,6.2
7.7,24.6,55,13.7
7.1,22.3,75,0.5
-1.8,31.0,66,11.8
10.0,25.7,83,0.5
9.9,32.3,81,7.1
7.7,29.0,53,9.7
2.8,40.3,38,9.7
1.4,19.5,62,14.9
4.4,27.4,63,13.8
12.7,43.8,57,13.1
5.6,19.3,87,10.4
16.1,27.8,71,5.5
4.1,24.1,39,9.5
16.8,34.1,56,9.9
17.0,28.2,75,7.5
14.0,31.3,56,14.4
5.6,30.0,87,1.0
7.6,31.0,54,15.0
17.2,20.5,59,5.4
11.3,41.5,61,2.8
10.6,41.4,63,8.2
0.9,36.0,73,8.4
15.1,37.4,79,12.1
-1.4,47.0,68,10.6
15.1,40.1,66,7.0
2.9,48.2,61,7.8
-0.8,42.0,79,14.9
16.4,38.4,63,3.1
13.8,21.1,48,15.5
6.6,26.9,45,13.2
8.1,27.5,43,9.7
7.1,41.5,82,7.3
-0.4,27.2,67,7.9
-1.3,33.9,58,0.1
14.9,25.5,75,15.5
14.4,35.1,76,12.8
16.8,27.8,75,1.2
14.6,30.3,46,1.1
-1.7,46.4,60,0.9
16.3,29.0,72,3.7
14.6,46.5,65,14.7
-0.9,35.1,75,5.6
11.0,47.5,54,10.2
14.7,27.7,73,8.4
-2.0,44.0,86,2.3
18.0,40.4,89,7.1
15.5,31.6,57,6.0
4.8,48.3,51,14.9
16.5,33.8,38,0.1
10.5,46.4,59,11.0
8.1,35.5,81,9.6
-0.6,35.4,52,9.5
16.7,42.5,38,2.2
12.3,46.3,61,4.1
-1.0,20.1,68,4.2
3.0,31.8,89,10.5
15.5,23.1,47,0.0
3.4,18.8,75,14.8
-2.5,22.0,62,7.0
8.8,19.9,66,13.7
1.4,28.7,58,9.5
16.3,24.3,63,6.3
1.1,19.8,38,11.6
7.1,36.3,73,0.3
6.7,43.6,77,15.5
17.1,44.7,54,1.2
9.5,36.6,80,8.9
5.7,22.3,50,10.7
13.3,41.5,57,12.1
5.7,42.4,62,13.6
6.6,36.1,55,1.9
6.6,46.5,89,10.7
18.0,31.0,44,7.8
6.9,47.8,70,9.4
5.0,43.4,77,6.1
11.4,23.3,75,14.2
12.6,37.4,49,1.3
12.4,25.8,44,7.5
9.7,22.9,61,7.3
5.9,27.9,61,9.1
-2.1,41.7,61,12.2
5.3,39.1,86,7.0
16.3,33.1,89,9.6
8.0,35.2,82,5.8
6.2,26.7,81,15.1
15.7,33.4,39,13.1
2.8,31.1,53,0.1
2.1,21.6,58,14.9
16.5,31.7,86,8.6
-1.9,48.2,52,5.1
1.2,45.9,81,14.3
2.3,26.1,65,3.7
8.5,23.9,56,6.4
16.1,41.7,80,13.6
-0.1,26.0,57,15.4
10.0,48.6,71,4.4
9.5,43.4,57,14.1
0.7,27.7,61,0.4
5.3,48.1,67,9.7
9.3,19.0,71,4.0
-1.2,38.2,63,3.9
3.0,19.3,41,11.6
5.0,25.5,73,7.2
11.1,39.9,67,14.1
5.5,31.5,83,4.8
9.0,44.7,58,5.5
16.7,48.8,45,15.0
-1.0,41.1,78,14.5
-1.3,27.2,83,15.0
17.7,28.7,41,4.0
8.2,32.6,62,9.8
7.8,37.8,66,9.0
15.4,26.5,52,9.9
-1.1,23.2,87,14.2
0.7,48.2,55,2.7
15.9,47.5,55,5.7
9.2,21.9,38,2.4
0.5,22.4,65,12.5
9.9,24.2,44,1.2
2.0,23.8,60,5.1
11.8,42.0,80,1.3
10.4,30.5,40,8.8
0.8,35.5,65,2.2
12.4,28.7,42,2.3
-3.0,41.1,44,5.8
-0.7,45.2,81,6.4
7.4,35.2,58,14.8
16.7,31.0,81,4.7
8.5,40.5,65,3.3
11.1,22.5,75,12.8
1.9,41.9,45,5.6
5.2,45.9,43,5.6
16.5,46.3,38,5.8
14.9,45.2,46,0.7
-0.3,39.5,52,9.4
13.4,34.5,89,12.6
-2.1,30.2,48,12.4
1.6,24.2,70,13.1
0.7,39.0,73,9.4
3.7,33.4,43,0.3
5.4,19.7,66,8.9
8.3,38.4,41,10.7
12.0,33.1,49,14.8
10.4,27.2,52,9.1
11.6,23.5,39,12.7
5.4,29.2,39,7.6
8.7,44.7,66,2.3
13.9,27.1,75,4.6
2.1,22.2,66,13.6
2.5,34.7,46,1.1
5.3,46.9,79,13.3
9.4,44.0,54,12.9
15.9,31.3,60,3.9
9.7,47.3,76,9.8
1.8,32.4,72,10.7
15.9,39.8,74,10.8
14.7,28.2,89,12.8
8.3,23.6,43,2.1
10.4,31.1,42,6.7
13.3,22.4,77,6.5
11.7,49.0,43,10.1
9.1,40.1,45,7.6
11.8,46.8,42,6.0
14.2,44.4,48,8.5
-1.1,46.2,39,11.7
16.4,20.8,76,0.3
13.2,18.9,59,5.9
15.7,48.9,59,2.1
13.0,33.8,83,4.4
12.7,30.9,46,10.6
16.7,38.0,86,11.0
-2.3,22.3,87,12.2
-2.9,20.4,89,8.8
15.7,45.8,78,11.3
10.5,35.2,43,2.4
0.7,22.3,73,3.9
16.0,28.8,41,8.5
15.3,40.9,51,14.5
3.6,31.8,81,4.5
1.8,20.2,62,4.6
7.4,40.8,40,3.4
9.8,38.3,70,2.2
7.2,40.1,52,8.7
-2.6,31.0,77,11.0
7.1,30.6,78,6.0
1.7,29.2,89,11.4
16.4,47.6,39,1.4
2.3,43.7,48,8.8
-2.8,34.5,58,3.0
11.2,36.8,87,2.1
11.2,45.0,46,2.2
15.9,41.9,70,7.1
8.9,20.3,83,11.1
17.4,31.5,88,10.8
12.6,28.3,55,7.4
17.9,29.0,65,11.9
13.3,26.6,39,6.3
12.1,47.2,44,9.6
5.5,22.4,55,1.4
12.9,36.2,71,7.6
2.0,35.1,39,5.1
2.1,34.6,52,4.4
12.6,42.5,77,3.7
3.4,29.7,77,5.7
1.3,29.2,38,15.5
6.5,44.3,88,9.9
6.5,45.0,74,14.5
6.7,46.3,38,14.0
6.7,24.7,70,8.4
6.3,33.6,55,4.4
-2.9,30.9,71,10.5
14.1,23.8,83,13.4
16.6,46.0,81,10.3
3.9,23.3,67,7.3
10.6,27.6,69,7.7
7.2,25.6,53,2.6
-0.1,42.1,55,15.0
6.3,28.4,89,12.2
11.2,23.7,55,8.3
-2.4,25.0,58,8.7
17.5,18.7,43,13.4
3.3,44.6,48,12.6
11.7,30.3,84,5.5
10.1,36.9,64,3.7
16.5,21.2,79,14.6
14.1,22.4,64,6.0
7.5,42.2,60,6.6
8.3,40.6,68,14.1
15.6,20.8,76,2.4
9.1,19.6,63,5.4
0.2,33.4,49,15.2
13.7,27.4,61,15.1
1.4,28.9,87,3.0
14.2,38.8,47,14.2
-0.1,19.1,71,8.0
12.5,32.4,38,0.6
2.9,26.5,40,5.1
3.9,32.8,81,7.1
16.9,35.5,42,8.9
4.9,34.7,79,1.6
-2.7,19.9,84,3.6
8.4,27.3,70,11.5
13.7,47.3,55,7.3
3.8,28.9,67,7.9
15.2,39.4,84,15.3
12.1,19.4,39,7.8
6.8,38.9,47,5.6
3.1,31.7,55,0.4
1.4,47.8,53,13.1
8.6,40.1,64,9.2
13.7,18.6,82,6.1
14.2,47.3,52,8.9
17.0,47.5,55,5.0
-2.2,26.2,55,7.4
0.7,34.7,55,8.2
1.0,39.7,40,9.3
7.1,34.8,56,11.0
0.8,43.9,47,14.2
-1.3,35.9,47,10.2
7.0,21.1,89,4.1
13.0,21.3,65,7.4
5.8,20.1,77,6.7
4.0,27.2,88,6.9
6.0,48.2,42,12.3
7.8,35.4,89,7.8
0.5,44.7,77,4.3
16.2,28.5,62,4.5
3.2,39.7,45,1.9
6.8,48.4,85,7.1
-1.5,34.2,44,8.3
4.1,20.0,85,2.5
0.2,23.2,60,9.0
14.9,21.9,42,9.5
16.9,47.6,83,3.6
11.8,43.9,52,10.1
15.5,41.6,71,9.0
13.0,30.9,39,7.7
6.8,27.4,42,1.4
7.1,25.1,73,12.7
16.3,42.5,46,10.9
1.2,29.9,75,3.3
12.9,41.7,61,7.7
9.9,30.8,52,0.2
2.9,18.6,39,2.4
5.4,34.7,75,1.4
-2.1,37.2,77,14.1
5.7,33.1,50,8.4
-1.3,36.0,85,14.3
6.3,39.7,82,6.4
6.2,46.4,44,6.1
-0.8,24.1,73,15.1
9.0,24.1,60,5.1
3.7,37.2,57,5.5
5.5,46.7,43,7.5
-2.3,37.6,45,5.7
3.0,22.6,69,1.9
6.5,25.6,39,9.7
15.8,26.3,51,6.1
2.1,29.6,76,12.5
16.1,38.9,71,2.9
6.3,42.8,74,10.6
10.2,36.6,75,2.5
8.6,39.1,60,13.2
8.3,31.8,44,6.1
4.7,23.9,72,0.2
2.5,28.1,50,11.2
9.7,27.5,82,5.4
-1.9,24.2,82,12.0
9.1,23.5,66,7.0
0.2,29.4,68,2.6
8.6,36.0,48,9.9
10.7,31.6,77,4.9
9.7,45.8,60,1.9
17.7,48.8,82,7.9
5.3,46.4,51,6.1
6.7,40.0,53,6.5
8.7,41.6,83,6.8
7.0,27.5,61,13.3
10.5,43.5,63,5.1
15.2,19.0,60,10.2
-1.5,48.0,72,1.1
15.4,19.1,86,7.4
5.2,22.7,45,5.8
-3.0,27.1,73,4.7
13.8,41.4,42,8.1
7.2,39.7,38,0.9
5.0,20.2,48,8.6
5.8,30.1,65,12.8
12.7,31.2,47,10.4
-1.6,37.2,89,6.4
4.1,22.6,81,15.1
7.0,41.4,66,6.9
9.1,46.3,45,10.4
4.6,37.2,46,1.6
7.6,18.7,40,0.1
12.5,19.8,81,13.1
1.5,32.9,62,10.0
3.5,47.5,46,12.7
-0.3,38.5,45,13.1
11.2,43.1,38,3.6
2.2,48.1,45,3.7
1.5,37.3,80,2.9
8.4,47.9,76,10.9
14.7,26.0,62,12.8
-2.1,25.0,63,6.1
0.1,28.2,64,9.8
14.5,28.8,61,14.3
10.9,43.6,45,6.3
9.3,37.7,52,5.8
-0.9,47.2,49,12.5
-2.6,33.8,82,6.3
11.8,19.1,67,14.5
-1.7,40.7,44,3.1
8.3,30.2,51,6.1
6.4,19.9,62,6.0
14.3,41.8,72,3.6
11.8,24.3,47,8.7
13.6,22.3,44,10.0
13.4,34.5,52,4.1
11.1,44.1,72,13.4
9.5,24.8,67,11.2
11.6,32.8,42,3.6
17.1,33.4,61,2.4
4.5,34.5,53,14.3
2.3,27.6,79,2.3
2.6,24.5,57,4.8
14.1,45.9,56,14.2
12.4,27.8,43,1.5
15.4,32.6,80,11.3
8.3,28.7,84,9.1
15.9,20.9,60,3.7
6.2,45.2,43,2.8
-0.2,29.8,88,12.2
-2.1,36.3,89,13.8
17.0,45.2,75,0.6
5.4,39.0,70,12.9
3.5,22.8,44,12.3
2.5,29.6,58,8.3
0.0,27.9,74,9.2
11.5,32.4,61,2.4
-1.8,29.8,89,9.3
4.2,23.5,71,5.2
13.2,41.1,82,9.4
1.3,35.5,78,12.6
5.1,43.0,61,4.9
-2.2,25.7,74,9.3
-2.6,27.4,87,6.7
10.7,43.0,85,10.0
13.9,41.9,48,3.6
2.2,26.1,66,8.1
2.2,36.8,66,15.3
6.6,25.2,69,10.5
11.6,31.8,48,3.5
17.7,27.9,72,7.7
-1.1,19.2,77,5.6
16.1,18.7,52,15.3
10.4,32.6,76,4.0
-2.5,31.8,79,14.7
7.3,27.0,83,11.9
6.0,40.0,42,3.4
-1.2,44.6,42,0.5
17.4,26.0,79,10.7
-2.6,40.2,49,4.1
1.7,32.0,60,11.2
-0.9,33.4,56,6.3
8.1,39.8,45,12.9
12.0,43.7,43,6.5
6.3,45.3,40,7.5
9.2,41.1,51,1.2
5.3,24.6,38,15.1
7.8,48.9,47,9.4
-0.3,23.2,89,4.0
6.7,45.0,84,3.6
10.4,20.6,42,2.7
10.4,27.4,70,0.1
11.6,40.6,86,14.7
17.8,45.1,84,12.3
4.7,21.6,66,12.8
7.5,20.4,70,9.8
-0.3,31.7,85,5.9
-1.7,19.3,46,15.2
9.2,27.6,46,3.4
13.1,21.6,67,2.4
8.7,26.8,54,8.1
15.2,47.0,74,11.5
11.7,41.1,68,8.8
7.0,46.6,43,12.6
-1.4,30.0,51,1.3
15.3,32.8,57,4.6
5.3,39.9,85,5.0
2.4,48.0,48,14.9
13.2,26.5,49,0.5
8.4,31.1,83,0.4
15.7,37.1,52,1.5
17.2,41.9,70,9.5
4.9,23.5,74,7.0
9.4,33.5,87,3.3
2.9,34.8,53,7.3
17.6,46.5,57,2.0
6.4,26.0,74,5.6
-0.2,36.9,58,11.6
12.9,48.2,71,6.6
11.3,33.0,75,2.3
12.8,46.5,64,9.2
-0.5,29.0,72,11.5
16.5,34.5,58,4.7
-0.8,44.9,89,3.2
11.6,18.8,56,14.5
1.8,46.9,45,10.1
4.8,45.0,39,14.9
4.7,20.8,73,14.8
7.1,28.6,84,14.0
10.0,34.7,62,2.5
-2.8,34.8,68,11.0
12.7,44.4,66,3.1
-2.4,39.6,73,9.5
14.7,30.9,88,11.7
6.1,20.4,80,9.8
7.8,28.1,49,3.5
-0.2,40.7,63,3.4
6.9,33.4,84,4.5
15.0,41.2,74,12.7
-2.1,19.4,67,11.2
11.9,42.5,75,11.3
15.7,40.5,50,5.9
8.3,27.5,56,7.5
-2.0,23.2,63,11.5
9.0,35.3,39,7.9
9.1,20.5,69,0.6
1.0,20.4,60,15.4
-1.8,19.1,87,5.0
12.8,30.3,62,10.1
14.2,38.1,62,0.0
16.5,26.0,89,0.4
-2.4,21.0,80,9.9
10.2,47.7,86,8.7
6.3,18.7,66,14.4
4.7,21.4,38,4.7
7.0,46.5,52,14.9
13.0,30.8,50,14.4
1.9,41.3,74,5.8
2.9,22.5,74,2.6
14.3,30.2,89,5.2
-0.1,34.6,66,10.8
13.6,47.1,84,8.3
6.4,42.3,58,10.8
10.6,28.2,43,10.5
5.9,45.3,58,13.8
1.4,29.8,46,2.5
-1.7,40.6,56,15.5
4.4,31.1,54,6.6
-0.9,36.0,73,7.7
9.4,34.5,89,4.1
6.0,22.2,69,1.1
14.7,28.3,59,1.5
13.9,20.2,61,8.1
11.7,29.3,40,1.3
11.4,41.1,48,4.5
2.5,27.0,87,7.4
1.6,22.2,76,9.4
8.4,43.5,63,2.2
17.1,22.6,57,5.2
9.2,48.4,47,3.6
17.5,38.4,50,5.5
11.3,33.4,41,12.2
-2.8,38.8,70,13.4
-1.1,25.2,85,12.2
10.1,38.2,84,13.3
3.6,35.2,79,5.4
-0.3,32.1,58,5.2
5.6,22.1,70,4.7
3.4,48.5,60,5.4
1.1,22.2,45,1.5
10.0,45.0,38,1.8
-1.4,36.5,47,7.1
2.9,44.1,40,11.3
14.2,27.7,56,1.8
-0.3,31.2,48,7.6
17.3,32.1,79,0.5
14.3,26.4,78,5.1
14.5,41.9,52,2.1
9.3,42.3,52,9.1
6.0,27.6,72,5.4
12.9,40.5,84,12.5
-0.1,38.7,84,0.9
-2.3,46.3,67,3.7
15.2,36.1,39,7.8
-0.9,41.3,40,6.3
-2.4,28.6,51,6.0
10.5,19.3,60,11.8
9.1,32.7,42,10.8
7.4,21.5,52,11.4
4.7,38.8,72,6.2
-0.5,39.0,43,13.9
10.5,25.5,64,11.8
15.5,20.3,38,7.6
15.4,48.1,59,1.3
-1.4,19.7,54,3.3
7.2,39.7,70,4.9
2.9,47.6,59,4.0
14.3,35.5,87,8.4
-0.0,48.0,79,15.1
16.3,48.4,45,10.5
5.3,26.7,42,8.9
10.0,26.4,74,4.2
15.1,46.4,86,5.6
17.9,22.4,84,3.8
8.6,26.5,42,14.7
12.9,47.1,42,0.6
2.3,23.3,55,1.5
11.0,48.4,64,13.7
-0.7,22.4,42,3.6
-2.3,41.5,68,6.9
6.0,34.2,84,8.4
16.2,33.7,53,12.3
3.6,30.8,81,5.5
13.9,21.3,82,3.4
16.7,25.4,58,9.7
5.5,38.7,76,5.6
-0.8,44.0,56,3.9
11.1,24.7,58,14.8
1.4,31.3,53,0.5
3.2,24.4,87,15.3
10.2,37.0,66,8.0
13.7,24.8,43,9.0
9.4,37.5,72,7.6
16.4,37.1,56,1.7
10.5,35.7,76,6.4
11.9,40.8,77,13.0
7.9,35.5,68,2.4
9.0,39.2,59,0.5
1.0,21.4,39,5.2
10.2,38.7,46,14.8
7.5,48.1,85,3.9
3.6,41.0,39,8.1
12.9,48.0,77,1.3
5.6,40.9,57,7.3
12.5,39.7,55,3.3
12.5,37.8,67,1.6
-2.8,47.7,77,0.3
-2.5,38.4,67,5.3
4.8,48.6,81,12.4
2.7,25.0,62,15.4
16.1,41.1,49,7.7
7.6,32.9,48,1.6
-1.0,20.5,58,15.4
14.5,44.4,41,5.2
2.6,25.7,72,11.2
16.0,24.3,80,10.2
1.1,39.6,86,8.2
9.6,46.4,59,9.5
15.5,48.9,70,15.5
-1.9,48.9,47,6.8
1.2,38.2,59,5.6
1.1,27.2,80,9.3
-1.5,21.6,60,14.3
13.2,21.1,67,12.5
10.4,48.8,53,0.2
3.5,24.4,81,1.4
11.0,22.7,40,13.7
1.7,21.1,50,5.7
17.2,24.5,45,8.5
0.4,25.2,48,14.8
13.3,33.1,67,9.7
10.8,36.3,73,15.4
7.7,25.7,88,10.7
13.4,30.6,85,11.8
9.1,37.0,42,13.4
-0.4,20.9,42,13.6
5.0,19.6,55,13.8
7.6,19.9,88,4.0
15.5,32.0,79,4.9
17.3,28.7,42,9.6
14.0,47.2,68,1.5
0.4,44.6,80,7.2
17.9,38.5,89,10.3
7.1,43.8,73,6.1
17.0,36.2,88,2.2
5.6,32.5,41,12.9
-2.7,34.0,48,11.3
16.3,43.3,76,4.4
9.1,21.0,82,7.6
0.9,28.5,80,13.7
3.4,23.2,48,7.9
12.7,46.8,49,7.1
-1.7,48.2,44,3.1
12.1,47.6,58,5.1
11.7,32.2,80,13.1
-0.4,35.5,77,1.5
9.5,24.4,56,10.9
3.2,48.8,87,3.2
-2.2,18.9,67,14.3
4.6,26.7,74,9.2
8.2,28.8,85,14.4
15.2,22.4,87,4.0
9.8,34.1,51,10.0
-1.0,32.8,74,9.3
17.7,41.1,39,14.0
-0.7,26.3,41,11.2
8.4,33.2,51,14.6
5.0,28.0,63,7.0
16.5,36.2,57,9.4
17.2,37.5,42,10.1
9.0,46.1,48,10.6
-1.6,42.4,63,7.9
11.6,34.8,87,2.2
14.6,22.2,49,8.4
16.8,36.9,54,11.5
10.2,48.9,43,9.9
12.9,40.1,76,10.5
17.8,30.0,52,8.4
17.9,45.1,76,12.6
11.4,46.4,38,5.5
-2.2,40.8,57,4.9
10.7,19.2,58,5.7
7.7,24.3,58,5.0
17.6,47.1,66,8.9
9.1,47.2,60,11.2
2.3,41.3,43,15.3
11.1,32.4,65,3.8
15.1,20.8,84,7.9
3.5,37.9,43,12.4
10.3,23.0,60,6.3
7.8,27.9,54,14.3
-2.2,40.0,70,3.7
16.8,41.9,76,4.8
7.9,24.1,68,12.8
9.6,44.4,46,6.4
4.0,30.7,74,10.4
6.6,32.7,52,13.6
15.8,32.7,63,4.9
-2.2,24.1,76,10.6
-0.4,30.6,58,3.1
13.2,33.8,60,12.1
16.7,44.0,73,0.8
-0.3,25.0,78,10.0
2.6,21.5,79,4.0
-1.0,25.5,73,1.7
5.5,40.3,45,6.5
2.3,25.3,54,9.4
10.2,27.9,48,12.4
15.4,23.3,77,15.3
11.0,21.1,73,10.1
-2.1,23.6,64,3.9
15.5,46.9,78,1.8
9.4,24.8,67,7.2
-1.2,34.8,72,8.0
2.7,30.1,84,2.7
9.6,39.4,64,1.6
15.4,27.9,65,15.5
14.3,20.1,88,1.7
13.5,45.8,82,11.0
16.1,27.4,71,2.5
7.0,21.7,61,2.5
17.7,36.1,69,6.9
-1.0,27.5,39,11.0
8.7,35.9,78,6.7
14.6,24.2,79,14.5
-3.0,22.2,62,11.1
1.4,41.3,68,8.1
8.0,20.5,39,2.4
17.8,21.3,53,13.3
2.7,19.5,60,15.0
12.2,38.3,82,14.8
14.0,34.6,45,8.7
1.1,24.9,52,6.7
2.3,35.4,58,6.1
12.9,41.8,71,6.4
-2.1,32.1,81,8.1
16.7,42.5,67,6.0
9.1,40.0,54,4.9
15.8,42.5,69,5.4
1.1,35.5,89,4.4
5.0,41.3,76,10.0
-0.8,25.0,48,3.9
16.8,39.1,69,1.3
13.9,45.3,40,10.5
0.3,23.8,40,13.3
14.6,23.3,75,3.1
4.7,39.4,71,10.9
3.3,44.0,44,7.3
0.4,38.8,42,9.3
15.2,18.9,62,8.2
14.9,43.2,85,15.4
10.4,34.1,89,8.5
3.1,40.8,56,12.1
11.4,24.2,57,2.1
11.9,43.0,82,8.5
-2.3,32.9,68,14.7
13.1,28.1,60,14.7
12.7,37.6,72,1.7
4.8,31.6,89,4.3
15.7,19.8,49,6.8
10.0,44.7,67,8.4
8.1,23.4,44,10.0
-1.8,33.8,53,5.9
5.6,24.6,41,7.9
-1.9,45.3,48,0.2
-0.9,37.4,62,5.8
