Minimum Temperature,Maximum Temperature,Humidity,Precipitation
10.3,39.1,57,11.0
-0.2,29.6,65,10.2
6.5,34.5,59,10.1
2.5,39.9,52,9.2
-1.0,24.0,70,0.2
17.8,36.0,57,11.5
3.3,19.6,50,15.2
9.7,48.3,50,4.9
7.1,35.9,88,0.3
4.9,19.4,81,12.9
1.0,40.7,48,14.9
11.7,46.2,72,11.3
13.0,41.0,76,13.0
10.4,23.5,59,13.5
17.3,45.4,69,1.9
2.5,27.7,47,12.2
3.4,29.2,88,15.1
12.1,41.7,61,9.6
1.6,40.6,67,9.5
-1.5,32.6,52,0.2
2.6,25.6,82,4.0
-2.0,29.8,61,4.6
7.8,46.2,84,0.3
7.2,36.6,41,13.7
-1.0,43.5,70,12.1
3.9,32.2,80,12.2
2.3,45.5,44,1.0
16.6,44.0,44,7.8
17.3,20.9,48,1.5
6.3,26.2,72,10.5
16.9,30.5,63,14.0
16.8,25.7,45,10.8
16.9,28.5,70,12.0
16.9,26.6,46,7.3
8.1,32.6,79,2.1
2.9,29.4,53,3.8
-0.6,20.6,52,7.9
5.8,23.8,68,5.7
12.7,41.6,47,6.4
4.4,45.9,64,0.7
-2.8,24.4,46,3.8
14.6,25.6,44,11.7
0.7,22.7,42,7.0
1.4,46.8,45,15.1
8.0,47.2,61,14.1
16.0,28.1,38,2.2
17.8,28.7,41,4.4
-0.2,25.7,68,5.6
8.7,26.3,63,3.9
5.8,48.6,88,13.9
1.7,33.6,64,5.0
9.5,33.9,64,6.2
4.7,28.8,68,13.8
2.2,26.4,56,12.2
6.8,25.6,49,10.9
11.6,25.7,67,13.3
0.0,27.7,40,3.1
14.3,22.3,72,7.6
15.4,22.7,80,2.3
0.9,40.7,55,0.5
0.7,20.7,48,13.7
1.9,47.9,44,13.7
6.5,35.8,46,11.3
10.3,31.2,50,5.7
5.1,22.6,89,2.8
7.0,35.3,57,13.1
-2.5,21.3,61,5.1
-1.8,41.6,43,0.6
3.7,26.0,78,8.1
17.5,39.7,41,12.8
5.8,44.8,58,13.4
-2.7,19.1,65,9.3
0.0,29.6,89,1.0
0.6,18.6,65,5.0
